created_at,hashtags,media,favorite_count,id,retweet_count,text,user_screen_name,user_name
Sat May 02 15:53:28 +0000 2015,5cdh newrigor,,1,594530152404647936,0,"@sheishistoric so, now I must ask, has the internet made 'the absurd', absurd? #5cdh #newrigor",Pompeiana79,Eric Poehler
Sat May 02 15:49:45 +0000 2015,5cdh newrigor,,0,594529213769785344,0,Cade Johnson's mention of Tumblr culture &amp; humor and using that to connect the absurdity and seriousness in her research #5cdh #newrigor,sheishistoric,Emily Esten
Sat May 02 15:44:37 +0000 2015,NewRigor,,2,594527924713345024,1,"#NewRigor students show DH as a:
performance space
representational space
methodological platform
genre
source of freedom
means of control",Pompeiana79,Eric Poehler
Sat May 02 15:35:58 +0000 2015,NewRigor,,0,594525748469202945,0,"@5collDH Hi, will the only #NewRigor Skype session be at 12:15-1 pm, or is there a second session for online participants?",ByzCapp,Byzantine Cappadocia
Sat May 02 15:28:29 +0000 2015,5cdh NewRigor,http://twitter.com/jeffreymoro/status/594523862051725312/photo/1,1,594523862051725312,1,Panel picture! @5collDH #5cdh #NewRigor http://t.co/5UwDvEV0Ar,jeffreymoro,Jeffrey Moro
Sat May 02 15:28:02 +0000 2015,NewRigor 5cdh,,0,594523749103345664,1,Panel time! @5collDH #NewRigor #5cdh,jeffreymoro,Jeffrey Moro
Sat May 02 15:25:41 +0000 2015,5cdh newrigor,http://twitter.com/jeffreymoro/status/594523158604075008/photo/1,0,594523158604075008,1,More of @EcstaticPesse's sketches @5collDH #5cdh #newrigor http://t.co/pQW8cHZO5X,jeffreymoro,Jeffrey Moro
Sat May 02 15:24:23 +0000 2015,roboticsculpture 5cdh newrigor,http://twitter.com/Yael_Rice/status/594522830051614721/photo/1,1,594522830051614721,0,@ecstaticpesse's sketch for a cellphone case made from squirrel roadkill #roboticsculpture @5collDH #5cdh #newrigor http://t.co/9BTfyuQYNQ,Yael_Rice,Yael Rice
Sat May 02 15:23:37 +0000 2015,NewRigor digitalhumanities 5cdh,,2,594522640330727425,1,These robots are just amazing. #NewRigor #digitalhumanities #5cdh @EcstaticPesse  https://t.co/ozWsEEKe1Y,amplify285,Marisa Parham
Sat May 02 15:23:06 +0000 2015,5cdh newrigor,,0,594522507580846080,0,"""The Dangler"" sounds a lot like @NightValeRadio's Whispering Forest. #5cdh #newrigor @EcstaticPesse",sheishistoric,Emily Esten
