coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sat May 02 18:52:11 +0000 2015,blue NewRigor,,,0,594575126349357056,,,,en,,,1,594548041497112578,_superluminal,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @_superluminal: the beautiful thing about DH working groups: finding alternative communication methods when tech goes wrong #blue #NewRi…,https://twitter.com/kgbain/status/594575126349357056,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:52:09 +0000 2015,orange newrigor,,,0,594575118036242432,,,,en,,,1,594548107410571265,EduObservatory,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @EduObservatory: “What kinds of structures would help staff member’s own intellectual work emerge?”
Professional development support var…",https://twitter.com/kgbain/status/594575118036242432,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:52:06 +0000 2015,red newrigor,,,0,594575106942337024,,,,en,,,1,594548186691334144,sheishistoric,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @sheishistoric: #red: do these project types even encompass what the student symposium projects do &amp; present? #newrigor,https://twitter.com/kgbain/status/594575106942337024,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:52:05 +0000 2015,blue newrigor,,,0,594575100063653888,,,,en,,,1,594548425703694336,_superluminal,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @_superluminal: how can we evaluate DH w/o a basic understanding of/relationships with tech platforms? #blue #newrigor,https://twitter.com/kgbain/status/594575100063653888,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:52:03 +0000 2015,blue newrigor,,,0,594575092887216128,,,,en,,,1,594548613684076544,_superluminal,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @_superluminal: big questions: what are the ethics of assuming shared knowledge/paradigms? #blue #newrigor,https://twitter.com/kgbain/status/594575092887216128,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:52:00 +0000 2015,orange newrigor,,,0,594575079217963009,,,,en,,,1,594549374224572416,EduObservatory,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @EduObservatory: “Structures for staff member’s own intellectual work?”
Prof. dev. support better in IT than in libraries — usually. MHC…",https://twitter.com/kgbain/status/594575079217963009,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:51:58 +0000 2015,blue newrigor,,,0,594575072997863426,,,,en,,,1,594549078375149568,_superluminal,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @_superluminal: cornett: how do we fairly evaluate inherently collaborative work? #blue #newrigor,https://twitter.com/kgbain/status/594575072997863426,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:51:57 +0000 2015,value orange newrigor,,,0,594575067482292224,,,,en,,,1,594549327420387328,SmithGIS,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @SmithGIS: #value is not in question for participating in scholarship, but what are the rewards? #orange #newrigor @5collDH",https://twitter.com/kgbain/status/594575067482292224,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:51:50 +0000 2015,newrigor purple,,,0,594575039179190272,,,,en,,,1,594549404054462464,amplify285,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @amplify285: #newrigor #purple working thru the ? of how to articulate the value of failure in a humanities environment: “u don’t get po…,https://twitter.com/kgbain/status/594575039179190272,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:51:45 +0000 2015,orange newrigor,,,0,594575018702536705,,,,en,,,2,594549849506357248,EduObservatory,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @EduObservatory: “What is the difference between collaboration and support?”
Involved from the beginning: design, implement, review.
#or…",https://twitter.com/kgbain/status/594575018702536705,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:51:37 +0000 2015,blue newrigor,,,0,594574985403998210,,,,en,,,1,594549933962825728,_superluminal,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @_superluminal: thinking about peer review as a possible mode for DH work evaluation #blue #newrigor,https://twitter.com/kgbain/status/594574985403998210,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
,Sat May 02 18:51:35 +0000 2015,orange newrigor,,,0,594574976851845120,,,,en,,,1,594550144353345538,EduObservatory,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @EduObservatory: “What is the difference between collaboration and support?”
Could also include producing or procuring funding.
#orange …",https://twitter.com/kgbain/status/594574976851845120,Mon Jun 02 22:21:01 +0000 2014,kgbain,False,@5CollDH Post Bac | Amherst College '14 //  embodiment » digital media » enslavement » poco » Caribbean ± 香港 ± India » trauma,12,66,72,3,,Kimberly Bain,kgbain,387,,,False
